Date:  13:14, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 16   time : 83.9512 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
879  ,2.096e-01   ,-2.5  ,2.4  ,1.9
880  ,2.090e-01   ,-2.5  ,2.4  ,1.7
881  ,2.089e-01   ,-2.5  ,2.4  ,1.5
882  ,2.088e-01   ,-2.5  ,2.4  ,1.3
883  ,2.085e-01   ,-2.5  ,2.4  ,1.1
884  ,2.080e-01   ,-2.5  ,2.4  ,0.9
885  ,2.070e-01   ,-2.5  ,2.4  ,0.7
886  ,2.057e-01   ,-2.5  ,2.4  ,0.5
887  ,2.039e-01   ,-2.5  ,2.4  ,0.3
1044  ,2.737e-01   ,-2.3  ,-2.5  ,0.44697
1045  ,2.783e-01   ,-2.3  ,-2.5  ,0.68705
1046  ,2.817e-01   ,-2.3  ,-2.5  ,0.92554
1047  ,2.833e-01   ,-2.3  ,-2.5  ,1.1682
1048  ,2.830e-01   ,-2.3  ,-2.5  ,1.4148
1049  ,2.809e-01   ,-2.3  ,-2.5  ,1.6581
1050  ,2.782e-01   ,-2.3  ,-2.5  ,1.8967
1051  ,2.767e-01   ,-2.3  ,-2.5  ,2.1357
1052  ,2.775e-01   ,-2.3  ,-2.5  ,2.3794
1053  ,2.802e-01   ,-2.3  ,-2.5  ,2.6206
1054  ,2.831e-01   ,-2.3  ,-2.5  ,2.8643
1055  ,2.843e-01   ,-2.3  ,-2.5  ,3.1033
1056  ,2.828e-01   ,-2.3  ,-2.5  ,3.342
1057  ,2.774e-01   ,-2.3  ,-2.5  ,3.5852
1058  ,2.680e-01   ,-2.3  ,-2.5  ,3.8318
1059  ,2.546e-01   ,-2.3  ,-2.5  ,4.0745
1060  ,2.385e-01   ,-2.3  ,-2.5  ,4.3129
1061  ,2.214e-01   ,-2.3  ,-2.5  ,4.553
1062  ,2.182e-01   ,-2.053  ,-2.5  ,4.8
1063  ,2.246e-01   ,-1.8129  ,-2.5  ,4.8
1064  ,2.250e-01   ,-1.5745  ,-2.5  ,4.8
1065  ,2.209e-01   ,-1.3318  ,-2.5  ,4.8
1066  ,2.147e-01   ,-1.0852  ,-2.5  ,4.8
1067  ,2.078e-01   ,-0.84195  ,-2.5  ,4.8
1068  ,2.014e-01   ,-0.60329  ,-2.5  ,4.8
1069  ,1.981e-01   ,-0.3643  ,-2.5  ,4.8
1070  ,1.987e-01   ,-0.12055  ,-2.5  ,4.8
1071  ,2.020e-01   ,0.12056  ,-2.5  ,4.8
1072  ,2.045e-01   ,0.3643  ,-2.5  ,4.8
1073  ,2.034e-01   ,0.6033  ,-2.5  ,4.8
1074  ,1.967e-01   ,0.84195  ,-2.5  ,4.8
1075  ,1.835e-01   ,1.0852  ,-2.5  ,4.8
1076  ,1.645e-01   ,1.3318  ,-2.5  ,4.8
1077  ,1.420e-01   ,1.5745  ,-2.5  ,4.8
1078  ,1.194e-01   ,1.8129  ,-2.5  ,4.8
1079  ,1.018e-01   ,2.053  ,-2.5  ,4.8
1080  ,1.019e-01   ,2.3  ,-2.5  ,4.553
1081  ,1.196e-01   ,2.3  ,-2.5  ,4.3129
