Date:  12:50, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 6   time : 31.4708 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
575  ,3.607e+08   ,-2.4  ,2.5  ,3.1
576  ,3.357e+08   ,-2.4  ,2.5  ,2.9
577  ,3.023e+08   ,-2.4  ,2.5  ,2.7
578  ,2.984e+08   ,-2.4  ,2.5  ,2.5
579  ,2.406e+08   ,-2.4  ,2.5  ,2.3
580  ,2.282e+08   ,-2.4  ,2.5  ,2.1
581  ,2.691e+08   ,-2.4  ,2.5  ,1.9
582  ,3.784e+08   ,-2.4  ,2.5  ,1.7
583  ,3.324e+08   ,-2.4  ,2.5  ,1.5
584  ,3.361e+08   ,-2.4  ,2.5  ,1.3
585  ,3.120e+08   ,-2.4  ,2.5  ,1.1
586  ,3.022e+08   ,-2.4  ,2.5  ,0.9
587  ,2.846e+08   ,-2.4  ,2.5  ,0.7
588  ,2.236e+08   ,-2.4  ,2.5  ,0.5
589  ,1.514e+08   ,-2.4  ,2.5  ,0.3
590  ,1.046e+10   ,1.936  ,2.5  ,4.9
591  ,4.659e+09   ,1.7389  ,2.5  ,4.9
592  ,3.430e+09   ,1.5418  ,2.5  ,4.9
593  ,2.412e+09   ,1.3447  ,2.5  ,4.9
594  ,1.879e+09   ,1.1476  ,2.5  ,4.9
595  ,2.181e+09   ,0.95055  ,2.5  ,4.9
596  ,2.701e+09   ,0.75346  ,2.5  ,4.9
597  ,2.313e+09   ,0.55637  ,2.5  ,4.9
598  ,1.757e+09   ,0.35927  ,2.5  ,4.9
599  ,1.367e+09   ,0.16218  ,2.5  ,4.9
600  ,1.040e+09   ,-0.034907  ,2.5  ,4.9
601  ,8.707e+08   ,-0.232  ,2.5  ,4.9
602  ,6.944e+08   ,-0.42909  ,2.5  ,4.9
603  ,4.268e+08   ,-0.62618  ,2.5  ,4.9
604  ,1.230e+08   ,-0.82327  ,2.5  ,4.9
605  ,1.201e+08   ,-1.0204  ,2.5  ,4.9
606  ,1.761e+08   ,-1.2175  ,2.5  ,4.9
607  ,1.743e+08   ,-1.4145  ,2.5  ,4.9
608  ,2.791e+08   ,-1.6116  ,2.5  ,4.9
609  ,3.562e+08   ,-1.8087  ,2.5  ,4.9
610  ,3.703e+08   ,-2.0058  ,2.5  ,4.9
611  ,3.613e+08   ,-2.2029  ,2.5  ,4.9
612  ,1.285e+10   ,2.2665  ,2.5  ,4.7665
613  ,9.125e+09   ,2.4  ,2.5  ,4.436
614  ,5.447e+09   ,2.4  ,2.5  ,4.2389
615  ,3.355e+09   ,2.4  ,2.5  ,4.0418
616  ,2.670e+09   ,2.4  ,2.5  ,3.8447
617  ,2.264e+09   ,2.4  ,2.5  ,3.6476
618  ,2.255e+09   ,2.4  ,2.5  ,3.4505
619  ,2.690e+09   ,2.4  ,2.5  ,3.2535
620  ,2.399e+09   ,2.4  ,2.5  ,3.0564
621  ,1.585e+09   ,2.4  ,2.5  ,2.8593
622  ,1.161e+09   ,2.4  ,2.5  ,2.6622
623  ,8.422e+08   ,2.4  ,2.5  ,2.4651
624  ,6.442e+08   ,2.4  ,2.5  ,2.268
625  ,4.990e+08   ,2.4  ,2.5  ,2.0709
626  ,4.943e+08   ,2.4  ,2.5  ,1.8738
627  ,5.061e+08   ,2.4  ,2.5  ,1.6767
628  ,1.387e+08   ,2.4  ,2.5  ,1.4796
629  ,2.113e+08   ,2.4  ,2.5  ,1.2825
630  ,3.092e+08   ,2.4  ,2.5  ,1.0855
631  ,4.510e+08   ,2.4  ,2.5  ,0.88836
632  ,5.507e+08   ,2.4  ,2.5  ,0.69127
633  ,5.368e+08   ,2.4  ,2.5  ,0.49418
634  ,3.233e+08   ,2.4  ,2.5  ,0.29709
796  ,1.361e+08   ,-2.5  ,2.2  ,0.1
797  ,7.764e+07   ,-2.5  ,2  ,0.1
798  ,5.714e+07   ,-2.5  ,1.8  ,0.1
799  ,4.391e+07   ,-2.5  ,1.6  ,0.1
800  ,4.548e+07   ,-2.5  ,1.4  ,0.1
801  ,4.246e+07   ,-2.5  ,1.2  ,0.1
802  ,3.682e+07   ,-2.5  ,1  ,0.1
803  ,2.818e+07   ,-2.5  ,0.8  ,0.1
804  ,1.316e+07   ,-2.5  ,0.6  ,0.1
805  ,1.051e+07   ,-2.5  ,0.4  ,0.1
806  ,7.223e+06   ,-2.5  ,0.2  ,0.1
807  ,9.615e+06   ,-2.5  ,5.8879E-16  ,0.1
808  ,2.003e+07   ,-2.5  ,-0.2  ,0.1
809  ,2.213e+07   ,-2.5  ,-0.4  ,0.1
810  ,3.732e+06   ,-2.5  ,-0.6  ,0.1
811  ,9.618e+06   ,-2.5  ,-0.8  ,0.1
812  ,1.189e+07   ,-2.5  ,-1  ,0.1
813  ,7.254e+06   ,-2.5  ,-1.2  ,0.1
814  ,4.764e+06   ,-2.5  ,-1.4  ,0.1
815  ,4.419e+06   ,-2.5  ,-1.6  ,0.1
816  ,2.449e+06   ,-2.5  ,-1.8  ,0.1
817  ,2.080e+06   ,-2.5  ,-2  ,0.1
818  ,1.711e+06   ,-2.5  ,-2.2  ,0.1
819  ,7.896e+07   ,-2.5  ,-2.4  ,4.7
820  ,7.018e+07   ,-2.5  ,-2.4  ,4.5
821  ,4.552e+07   ,-2.5  ,-2.4  ,4.3
822  ,2.542e+07   ,-2.5  ,-2.4  ,4.1
823  ,1.352e+07   ,-2.5  ,-2.4  ,3.9
824  ,1.612e+07   ,-2.5  ,-2.4  ,3.7
825  ,1.624e+07   ,-2.5  ,-2.4  ,3.5
826  ,1.119e+07   ,-2.5  ,-2.4  ,3.3
827  ,5.041e+06   ,-2.5  ,-2.4  ,3.1
828  ,7.282e+06   ,-2.5  ,-2.4  ,2.9
829  ,6.203e+06   ,-2.5  ,-2.4  ,2.7
830  ,3.988e+06   ,-2.5  ,-2.4  ,2.5
831  ,3.855e+06   ,-2.5  ,-2.4  ,2.3
832  ,3.283e+06   ,-2.5  ,-2.4  ,2.1
833  ,2.123e+06   ,-2.5  ,-2.4  ,1.9
834  ,4.169e+06   ,-2.5  ,-2.4  ,1.7
835  ,5.149e+06   ,-2.5  ,-2.4  ,1.5
836  ,3.586e+06   ,-2.5  ,-2.4  ,1.3
837  ,2.350e+06   ,-2.5  ,-2.4  ,1.1
838  ,1.496e+06   ,-2.5  ,-2.4  ,0.9
839  ,1.562e+06   ,-2.5  ,-2.4  ,0.7
840  ,2.077e+06   ,-2.5  ,-2.4  ,0.5
841  ,1.662e+06   ,-2.5  ,-2.4  ,0.3
842  ,2.315e+08   ,-2.5  ,2.2  ,4.9
843  ,2.412e+08   ,-2.5  ,2  ,4.9
844  ,2.241e+08   ,-2.5  ,1.8  ,4.9
845  ,2.210e+08   ,-2.5  ,1.6  ,4.9
846  ,1.968e+08   ,-2.5  ,1.4  ,4.9
847  ,2.040e+08   ,-2.5  ,1.2  ,4.9
848  ,2.639e+08   ,-2.5  ,1  ,4.9
849  ,3.706e+08   ,-2.5  ,0.8  ,4.9
850  ,2.516e+08   ,-2.5  ,0.6  ,4.9
851  ,2.287e+08   ,-2.5  ,0.4  ,4.9
852  ,2.504e+08   ,-2.5  ,0.2  ,4.9
853  ,2.332e+08   ,-2.5  ,5.8879E-16  ,4.9
854  ,2.139e+08   ,-2.5  ,-0.2  ,4.9
855  ,2.335e+08   ,-2.5  ,-0.4  ,4.9
856  ,2.754e+08   ,-2.5  ,-0.6  ,4.9
857  ,3.207e+08   ,-2.5  ,-0.8  ,4.9
858  ,3.583e+08   ,-2.5  ,-1  ,4.9
859  ,3.454e+08   ,-2.5  ,-1.2  ,4.9
860  ,2.591e+08   ,-2.5  ,-1.4  ,4.9
861  ,2.043e+08   ,-2.5  ,-1.6  ,4.9
862  ,2.273e+08   ,-2.5  ,-1.8  ,4.9
863  ,2.067e+08   ,-2.5  ,-2  ,4.9
864  ,1.678e+08   ,-2.5  ,-2.2  ,4.9
865  ,1.765e+08   ,-2.5  ,2.4  ,4.7
866  ,2.902e+08   ,-2.5  ,2.4  ,4.5
867  ,3.432e+08   ,-2.5  ,2.4  ,4.3
868  ,2.410e+08   ,-2.5  ,2.4  ,4.1
869  ,3.641e+08   ,-2.5  ,2.4  ,3.9
870  ,3.431e+08   ,-2.5  ,2.4  ,3.7
871  ,3.194e+08   ,-2.5  ,2.4  ,3.5
872  ,3.257e+08   ,-2.5  ,2.4  ,3.3
873  ,3.009e+08   ,-2.5  ,2.4  ,3.1
874  ,3.795e+08   ,-2.5  ,2.4  ,2.9
875  ,2.824e+08   ,-2.5  ,2.4  ,2.7
876  ,2.377e+08   ,-2.5  ,2.4  ,2.5
877  ,1.619e+08   ,-2.5  ,2.4  ,2.3
878  ,1.529e+08   ,-2.5  ,2.4  ,2.1
879  ,2.325e+08   ,-2.5  ,2.4  ,1.9
880  ,3.501e+08   ,-2.5  ,2.4  ,1.7
881  ,3.207e+08   ,-2.5  ,2.4  ,1.5
882  ,2.850e+08   ,-2.5  ,2.4  ,1.3
883  ,2.845e+08   ,-2.5  ,2.4  ,1.1
884  ,2.735e+08   ,-2.5  ,2.4  ,0.9
885  ,2.557e+08   ,-2.5  ,2.4  ,0.7
886  ,2.132e+08   ,-2.5  ,2.4  ,0.5
887  ,1.780e+08   ,-2.5  ,2.4  ,0.3
1044  ,2.820e+06   ,-2.3  ,-2.5  ,0.44697
1045  ,1.329e+06   ,-2.3  ,-2.5  ,0.68705
1046  ,2.439e+06   ,-2.3  ,-2.5  ,0.92554
1047  ,2.647e+06   ,-2.3  ,-2.5  ,1.1682
1048  ,1.622e+06   ,-2.3  ,-2.5  ,1.4148
1049  ,2.218e+06   ,-2.3  ,-2.5  ,1.6581
1050  ,1.688e+06   ,-2.3  ,-2.5  ,1.8967
1051  ,5.064e+06   ,-2.3  ,-2.5  ,2.1357
1052  ,7.168e+06   ,-2.3  ,-2.5  ,2.3794
